Time [s],Channel 0,Channel 2
6.628023040,0,0
6.633019200,1,0
6.633022880,1,1
6.638019040,0,1
6.638022880,0,0
6.643019040,1,0
6.643022720,1,1
6.648018880,0,1
6.648022880,0,0
6.653018720,1,0
6.653022560,1,1
6.658018720,0,1
6.658022560,0,0
6.663018560,1,0
6.663022400,1,1
6.668018560,0,1
6.668022400,0,0
6.673018400,1,0
6.673022240,1,1
6.678018400,0,1
6.678022240,0,0
6.683018240,1,0
6.683022080,1,1
6.688018240,0,1
6.688022080,0,0
6.693018080,1,0
6.693021920,1,1
6.698018080,0,1
6.698021920,0,0
6.703017920,1,0
6.703021760,1,1
6.708017760,0,1
6.708021760,0,0
6.713017760,1,0
6.713021600,1,1
6.718017600,0,1
6.718021600,0,0
6.723017600,1,0
6.723021280,1,1
6.728017440,0,1
6.728021280,0,0
6.733017440,1,0
6.733021120,1,1
6.738017280,0,1
6.738021120,0,0
6.743017120,1,0
6.743020960,1,1
6.748017120,0,1
6.748020960,0,0
6.753016960,1,0
6.753020800,1,1
6.758016960,0,1
6.758020800,0,0
6.763016800,1,0
6.763020640,1,1
6.768016800,0,1
6.768020640,0,0
6.773016640,1,0
6.773020480,1,1
6.778016640,0,1
6.778020480,0,0
6.783016480,1,0
6.783020320,1,1
6.788016480,0,1
6.788020320,0,0
6.793016320,1,0
6.793020160,1,1
6.798016160,0,1
6.798020160,0,0
6.803016160,1,0
6.803019840,1,1
6.808016000,0,1
6.808019840,0,0
6.813016000,1,0
6.813019680,1,1
6.818015840,0,1
6.818019680,0,0
6.823015840,1,0
6.823019680,1,1
6.828015680,0,1
6.828019520,0,0
6.833015520,1,0
6.833019360,1,1
6.838015520,0,1
6.838019360,0,0
6.843015360,1,0
6.843019200,1,1
6.848015360,0,1
6.848019200,0,0
6.853015200,1,0
6.853019040,1,1
6.858015200,0,1
6.858019040,0,0
6.863015040,1,0
6.863018880,1,1
6.868015040,0,1
6.868018880,0,0
6.873014880,1,0
6.873018720,1,1
6.878014880,0,1
6.878018720,0,0
6.883014720,1,0
6.883018560,1,1
6.888014560,0,1
6.888018560,0,0
6.893014560,1,0
6.893018400,1,1
6.898014400,0,1
6.898018240,0,0
6.903014400,1,0
6.903018080,1,1
6.908014240,0,1
6.908018080,0,0
6.913014240,1,0
6.913017920,1,1
6.918014080,0,1
6.918017920,0,0
6.923013920,1,0
6.923017760,1,1
6.928013920,0,1
6.928017760,0,0
6.933013760,1,0
6.933017600,1,1
6.938013760,0,1
6.938017600,0,0
6.943013600,1,0
6.943017440,1,1
6.948013600,0,1
6.948017440,0,0
